company name,city,state,description
Carisma Therapeutics,Philadelphia,PA,Carisma Therapeutics Inc. is a clinical stage biopharmaceutical company focused on utilizing our proprietary macrophage and monocyte cell engineering platform.
Freelancing (Hire me!),New York,NY,"When you find yourself looking for someone to freshen your brand, build a new app, or create an engaging user experience hiring freelancers usually seems cumbersome and expensive."
The Lauder Institute - University of Pennsylvania,Philadelphia,PA,The Lauder Institute at the University of Pennsylvania offers a MA International Studies joint degree with the Wharton MBA and Penn Law JD programs.
Burro,Philadelphia,PA,Burro is pioneering the future of work outdoors. Our mission is to solve the crushing labor problem faced by industrial and agricultural operators today.
Field Operations,New York,NY,"Field Operations is a leading-edge urban design and landscape architecture practice based in New York City, with offices in San Francisco, Philadelphia, Shenzhen, and London."
Back on My Feet,Philadelphia,PA,Back on My Feet empowers people to achieve economic independence through fitness and community. Operating in 16 cities nationwide.
"Julius Silvert, Inc",Philadelphia,PA,"Celebrating 110 Years! Since 1915, our company has provided local restaurants with the finest ingredients available. Located in Philadelphia, we are a family owned food wholesale distribution company."
Freeman's Auctions,Chicago,IL,"Freeman's is a premier American auction house offering services in multiple categories including fine art, jewelry, design, books and manuscripts, furniture, decorative arts, antiquities, couture, and Asian works of art."
Kiernan Trebach LLP,Washington,DC,"Kiernan Trebach is a mid-sized law firm with offices throughout the Northeast and Mid-Atlantic regions of the United States, from Maine to Florida."
DiD Agency,Philadelphia,PA,WE HAVE MOVED PAGES!! FOLLOW OUR NEW PAGE @ LUCIDGROUPUS. We haven't been as active here lately because we've been creating and sharing on our new LinkedIn page.
Alterra Property Group,Philadelphia,PA,"Alterra Property Group, LLC is an established real estate investment, development, and management company based in Philadelphia, PA."
Palm Venture Studios,Austin,TX,"Palm Venture Studios is the only venture studio focused on ""second-chance"" capital for early-stage startups."
CID Entertainment,Philadelphia,,"CID Entertainment is made up of music fans, innovators, former tour managers, ticketing experts, customer service specialists, production gurus and much more."
Bowery Valuation,New York,NY,"Bowery is redefining the commercial appraisal space through big data, advanced technology, and extensive expertise."
Honor Foods,Philadelphia,PA,"Honor Foods, a Burris Logistics Company, was founded in 1949 as a redistributor of center-of-the-plate foods."
The American Journal of Healthcare Strategy,Philadelphia,PA,The American Journal of Healthcare Strategy (AJHCS) is the leading strategy research firm dedicated to the composition and distribution of knowledge within the healthcare industry.
Jackson Lucas,New York,NY,"Jackson Lucas is a global organizational consulting firm providing specialized expertise in executive search, compensation consulting, leadership and board advisory."
BetterVet (Acquired by The Vets),Boston,MA,BetterVet is an industry leader in mobile veterinary care and pet wellness.
Strella,Seattle,WA,Our sensors and data predict shelf life to reduce food waste and improve quality.
Garfield Refining,Philadelphia,PA,"Founded in 1892, Garfield Refining is a fourth-generation, family-owned precious metals refinery headquartered in Philadelphia, PA."
"Sports Reference, LLC",Philadelphia,PA,Sports Reference currently serves a still-growing 20 million monthly users. Our sports stats sites are used worldwide every day.
WE-Matter,Philadelphia,PA,"High Performance through Engagement. WE-Matter is founded by Prashant Srivastav, alumnus of IIM Ahmedabad, Former CEO of Gallup India and Partner at AON Hewitt, APAC."
Verilogue,Philadelphia,PA,Verilogue provides marketers and marketing researchers actionable insights into exam-room conversations between doctors and patients.
PhilaPort (The Port of Philadelphia),Philadelphia,PA,"PhilaPort, The Port of Philadelphia, is an independent agency of the Commonwealth of Pennsylvania charged with the management, maintenance, marketing, and promotion of port facilities along the Delaware River."
Printfresh,Philadelphia,PA,"A longtime lover of patterns and textiles, Amy Voloshin founded Printfresh with her husband Leo in 2016."
ClearCourse Consulting,Charlotte,NC,ClearCourse Consulting is a strategic advisory firm specializing in Human Capital Management (HCM) transformation.
Roundtrip,Philadelphia,PA,Roundtrip is the leading digital transportation marketplace for better health outcomes.
Diversified Group,Warminster,PA,"At Diversified, we strive to be the preeminent lighting representative serving Eastern PA, Delaware, New Jersey, and Metro NYC."
Salix Fruits LLC,Philadelphia,PA,"Salix Fruits is the partner of choice for fruit buyers and growers. We specialize in Apples, Pears, Grapes, Citrus, and Kiwis."
Venture Lab,Philadelphia,PA,We maximize the ability of our students and alumni to address important challenges through entrepreneurship and entrepreneurial approaches.
Cable & Connections,USA,,"For more than 25 years, Cable & Connections has served the low voltage installation industry with our diverse inventory and years of experience."
iCorps Technologies,Woburn,MA,iCorps Technologies provides relationship-based technology services that cater to businesses with security and compliance at the core of every solution.
PlayVS College League,Philadelphia,PA,PlayVS College League is helping to reshape how entertainment is consumed by younger generations with new methodologies for advertisers.
The Common Market,Philadelphia,PA,The Common Market is a nonprofit wholesale food distributor that is successfully building sustainable regional food systems.
WRT,Philadelphia,PA,"WRT is a team of planners, urban designers, architects, and landscape architects."
QuotaPath,Philadelphia,PA,"The right comp plans drive performance. QuotaPath replaces manual calculations and fragmented processes with one trusted system to design, run, and optimize your comp plans."
Over The Top SEO,Seattle,WA,"Over The Top SEO LTD also known as O.T.T is an international Full Digital Marketing Company that specializes in Search Engine Optimization, Online Reputation Management, and Lead Generation."
Women in Title (WiT),Denver,CO,"Women in Title is a network dedicated to empowering, supporting, and elevating women in the title industry."
Tech Impact,Philadelphia,PA,"We believe technology can change the way we work as nonprofits, which is why we have partnered with thousands of organizations around the world since 2003."
Comcast Ventures,New York,NY,"Comcast Ventures is the venture capital arm of Comcast Corporation, with a 20+ year history of partnering with entrepreneurs to accelerate growth for their businesses."
CivTeam,Philadelphia,PA,IT system testing and evaluation company based in Philadelphia.
GreenLight Fund,Boston,MA,The GreenLight Fund works at the intersection of community need and social innovation.
Clark Capital Management Group,Philadelphia,PA,Clark Capital Management Group is a family and employee owned independent asset management firm providing institutional-quality investment solutions.
Summer Search,Oakland,CA,"Summer Search believes young people should have the opportunity to fulfill their potential, regardless of their circumstances."
Empire MG Inc.,Philadelphia,PA,Empire Management is one of the most formidable business consulting firms in the area.
Interius BioTherapeutics,Philadelphia,PA,"Interius BioTherapeutics is now part of Kite, a Gilead Company."
Spenza,Philadelphia,PA,Spenza is an operator-neutral connectivity enablement platform for businesses that offers procure-to-pay SaaS with integrated marketplace of operator mobile plans.
"Sagefrog Marketing Group, LLC",Doylestown,PA,"Sagefrog Marketing Group is a top-ranked B2B marketing agency with specialties in healthcare, technology, industrial, and business services."
Food Export-Midwest & Food Export-Northeast,Chicago,IL,Food Export Association of the Midwest USA and Food Export USA-Northeast are non-profit organizations composed of 23 Midwestern and Northeastern state agricultural promotion agencies.
Brian Communications,Philadelphia,PA,"Brian is a full-service, strategic communications agency serving the Philadelphia region."
Sureguard Financial,Philadelphia,PA,Sureguard is a leading provider of comprehensive financial services and insurance solutions.
Independent Lodging Congress,Philadelphia,PA,"ILC a place of discovery, collaboration, and idea generation for individuals and organizations within the hospitality space."
Binswanger,Philadelphia,PA,"Founded in Philadelphia in 1931, Binswanger is a global, employee-owned commercial real estate firm providing a complete range of services to corporate and institutional clients worldwide."
Method Workers' Comp,Nashville,TN,Method Workers' Compensation is a portfolio of workers' comp companies with the same mission: minimizing the human and financial cost of workplace injuries.
Triumph Technology Solutions LLC,Philadelphia,PA,Triumph Technology Solutions is an all-in AWS Premier Tier cloud native services provider.
Brightside,Chandler,AZ,"Brightside created Financial Care, a new category in employee benefits."
Passage Bio,Philadelphia,PA,We are a clinical stage genetic medicines company on a mission to improve the lives of patients with neurodegenerative diseases.
Executive Women's Forum (EWF) | DSG Global,Philadelphia,PA,"The Executive Women's Forum (EWF), a division of DSG Global, is a trusted global community committed to engaging, developing, and transforming leaders in cybersecurity, risk, and technology."
Premier Dental US,Plymouth Meeting,,"At Premier, we're inspired by the great work that dental professionals all over the world do every day to provide oral healthcare to their patients."
Yendo,Dallas,TX,We believe everyone should have equitable access to meaningful credit at affordable rates.
Raines International,Miami,FL,Raines International is an executive search firm that specializes in senior-level leadership recruitment across industries.
Central High School,Philadelphia,PA,"Central High School is a public high school in the Logan section of Philadelphia, Pennsylvania, founded in 1836."
Exyn Technologies,Philadelphia,PA,"Exyn is pioneering autonomous aerial robot systems for complex, GPS-denied environments."
PIDC,Philadelphia,PA,"We are Philadelphia's public-private economic development corporation. We provide financing and real estate products to businesses, nonprofits, and developers in all neighborhoods of Philadelphia."
MEDIcept Inc.,Boston,MA,"Medicept is your trusted integrated lifecycle partner bringing global expertise in regulatory, quality, clinical, and commercialization together in one team."
Inolex,Philadelphia,PA,"Inolex is a fiercely independent company that designs sustainable ingredients for health, beauty, and wellness."
BVA - Acquired by The Stable,San Diego,CA,BVA is a commerce agency that incubates and grows the direct-to-consumer (DTC) brands that people love.
NAPCO Media,Philadelphia,PA,"NAPCO Media is a business-to-business media company serving the printing and packaging, marketing, retail, non-profit, publishing and promotional products industries."
NewLane Finance,Philadelphia,PA,"Backed by the strength of WSFS Bank, NewLane is a commercial equipment finance company serving small to mid-size business nationwide."
Every Cure,Philadelphia,PA,Every Cure is a nonprofit organization dedicated to unlocking the full potential of every existing medicine to treat every disease possible.
Women in Tech Leadership,Philadelphia,PA,Women in Tech Leadership (WITL) is a Philadelphia-based non-profit 501(c)(3) networking organization for current and future women leaders in technology.
Xook,Philadelphia,PA,"Automated fresh food kiosks for condos, offices, supermarkets, and public facilities."
PRINTING United Expo,Philadelphia,PA,PRINTING United Expo is taking place September 23-25 in Las Vegas at Las Vegas Convention Center. The Expo brings together the entire industry under one roof.
Dreamit Ventures,Philadelphia,PA,Dreamit Ventures invests in transformative early-stage cybersecurity startups with revenue or pilots that are ready to scale.
Athena Global Advisors,Philadelphia,PA,"At our core, we're a collective of strategists, creatives, technologists, doers, and makers."
AGIL f(x),Philadelphia,PA,AGIL f(x) builds bespoke AI-powered business systems for enterprise teams in the Life Sciences industry.
SIMPLi,Philadelphia,PA,SIMPLi is a leading regenerative food brand on a mission to connect people around the world through the joy of food. Founded in 2020.
Supply Chain Insights,Philadelphia,PA,Supply Chain Insights LLC was founded in February 2012 by Lora Cecere.
PAR Retail,Philadelphia,PA,"PAR Technology Corporation (NYSE: PAR) delivers an agentic operating platform that enables smarter, more consistent operations for multi-unit brands."
DBI Projects,New York,NY,"We are an owner's representation firm, specializing in project management and real estate advisory."
HRO Today,Philadelphia,PA,HRO Today and the HRO Today Global Network are the properties of SharedXpertise Media and offer the broadest and deepest reach available anywhere in the HR industry.
Mitchell & Ness Nostalgia Co.,United States,,"We Are Premium. We Are Legendary. We Are Authentic. The legendary sports apparel company located in Philadelphia, Pennsylvania since 1904."
Terrain,Philadelphia,PA,"Founded in 2008, Terrain transforms the local garden center into a celebration of nature. Our flagship location in Glen Mills, Pennsylvania."
Faropoint,Jersey City,NJ,Faropoint is a data-driven industrial real estate asset manager that targets inefficiencies in the marketplace to achieve superior risk-adjusted returns.
FORT Robotics,Philadelphia,PA,"FORT Robotics is the Trust Layer for physical AI, making autonomous machines safe, secure, and reliable enough to deploy alongside humans."
ShopCore Properties (Now Perform Properties),Chicago,IL,"At Perform Properties, we redefine retail experiences, shaping vibrant communities where all businesses, big and small, thrive."
Westinghouse Lighting,Philadelphia,PA,Westinghouse Lighting is a family-owned lighting company based in Philadelphia. Founded in 1946 by Romolo and Stanley Angelo as Angelo Brothers.
Axion Recruitment,Southlake,TX,Axion Recruitment is a specialist international recruitment firm focused on the Manufacturing and Engineering sectors across the USA and UK.
Marshalls Distribution Ctr,Philadelphia,PA,"Marshalls Distribution Ctr is a Consumer Services company located in 2760 Red Lion Rd, Philadelphia, Pennsylvania, United States."
SEO Brand,Boca Raton,FL,"SEO Brand is a leading AI Search agency specializing in AI powered search optimization, GEO, and AEO. Founded in 2008."
Calcium+Company,New York,NY,Calcium+Company is an award-winning health communications group dedicated to nourishing companies and brands across their full lifecycle.
215 Marketing,Philadelphia,PA,"As a full-service agency, 215 Marketing is constantly striving to develop, to stay ahead of the curve, and to put the needs of our clients' first."
Fatpos Global,Philadelphia,PA,"Founded with a vision to make reliable market intelligence accessible worldwide, Fatpos Global is a global market research, consulting, and business intelligence company."
Tierney,Philadelphia,PA,We're a fuller-service creativity agency powered by good humans who do great work together.
SENA LLC,Philadelphia,,Sena LLC Group of Companies.
Netrality Data Centers,Miami Beach,FL,"Netrality owns and operates strategic interconnected data centers and Meet Me Rooms, providing a mix of colocation, powered shell, and wholesale data center solutions."
XponentL Data,Philadelphia,PA,"Genpact acquired XponentL Data on June 5, 2025."
Fox Run Brands,Ivyland,PA,"For over 45 years, Fox Run Brands has been a leading supplier of quality products for the kitchen to thousands of specialty retailers across the world."
Intention.ly,Philadelphia,PA,Intention.ly is the go-to growth consultancy and marketing agency for the financial services industry.
Sedna Consulting Group,Philadelphia,PA,Sedna Consulting Group is an innovative technology firm specializing in ground-breaking technology services.
TMX INTERMODAL,Linden,NJ,TMX Intermodal specializes in providing ocean container drayage and intermodal transportation Services.
"National Equity Fund, Inc.",Chicago,IL,"National Equity Fund, Inc. (NEF) is a leading non-profit, multi-family, affordable, real estate investment manager."
Officeworks Inc.,Burlington,MA,Officeworks is a workplace consulting firm specializing in innovative office interior solutions that put people at the center of design.
MOD,Philadelphia,PA,MOD is a creative collective built on intentional disruption.
Springboard Collaborative,Philadelphia,PA,"Children spend 75% of their waking hours outside of the classroom, yet our nation does shockingly little to capture educational value from this time for low-income kids."
School of the Future,Phialdelphia,PA,"School of the Future promises our learners and families a ""continuous, relevant and adaptive"" approach to learning."
Reinvestment Fund,Philadelphia,PA,Reinvestment Fund is a national mission-driven financial institution that creates opportunity for underserved people and places through partnerships.
Sprih,Philadelphia,PA,"Sprih is an AI-native enterprise intelligence platform that transforms fragmented operational, supplier, and sustainability data into real-time business intelligence."
Bi3 Careers,Philadelphia,PA,BI3 Careers combines insight and experience to form a creative and unique approach to deliver candidates who will have a positive impact on your business.
Rove,New York,NY,"Earn airline miles on shopping and booking travel, all on top of your credit card rewards."
Quil,Philadelphia,PA,"Quil, the joint venture between Independence Health Group and Comcast. We create technology that helps people thrive, age on their own terms."
Inspire,Santa Monica,CA,Inspire is a clean energy technology company on a mission to transform the way people access clean energy and accelerate the world toward a net-zero carbon future.
